#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Crédito inicial 2016,Modificaciones 2016,Credito definitivo 2016,Obligado 2016
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22603,PUBLIZITATEA ETA PROPAGANDA,130,9,2,5000,0,5000,4703.12
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22610,KALTE-ORDAINAK,130,9,2,2000,0,2000,0
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22699,BESTELAKO GASTUAK,130,9,2,16000,0,16000,1519.47
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22707,AZTERLAN ETA LAN TEKNIKOAK,130,9,2,25000,0,25000,42994
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22712,ZERBITZU INFORMATIKOAK,130,9,2,22000,0,22000,21780
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22717,BIDAI AGENTZIETAKO ZERBITZUAK,130,9,2,1000,0,1000,0
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,23001,"BIDAI SARIAK, PERTSONALAREN GARRAIOA ETA LOKOMOZIOA",130,9,2,10000,0,10000,196.15
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,130,9,1,408346,0,408346,350462.26
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,12101,LANTOKI OSAGARRIA,130,9,1,155078,0,155078,194639.71
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,12102,OSAGARRI BEREZIA,130,9,1,453743,0,453743,535164.34
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,12103,PRODUKTIBITATE OSAGARRIA,130,9,1,72221,0,72221,92534.83
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,12104,HABOROKINAK,130,9,1,8402,0,8402,53499.37
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,12105,PRESTAZIOAK ETA OSAGARRIAK ALDI BATERAKO EZINTASUNAK,130,9,1,0,0,0,57041.83
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,16001,GIZARTE SEGURANTZA,130,9,1,256087,0,256087,286264.64
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,16004,ELKARKIDETZAKO KUOTAK,130,9,1,23472,0,23472,20244.76
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,21101,ERAIKINEN ETA BESTELAKO ERAIKUNTZEN IRAUNARAZPENA,130,9,2,5422357,-33413.34,5388943.66,4674661.08
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,21401,ALTZARIEN ETA TRESNEN IRAUNARAZPENA,130,9,2,120000,0,120000,66819.49
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,21901,BESTELAKO IBILGETU MATERIALAREN IRAUNARAZPENA,130,9,2,4000,0,4000,2347.4
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22001,BULEGO-MATERIAL ARRUNT INBENTARIAEZINA,130,9,2,330000,0,330000,148163.8
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22002,"PRENTSA, ALDIZKARIAK, LIBURUAK ETA ARGITALPENAK",130,9,2,165000,0,165000,168037.45
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22003,MATERIAL INFORMATIKO INBENTARIAEZINA,130,9,2,334000,0,334000,310514.44
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22101,ENERGIA ELEKTRIKOAREN HORNIDURA,130,9,2,2300000,0,2300000,1634513.82
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22105,JANTZIEN HORNIDURA,130,9,2,130000,0,130000,42620.67
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22199,BESTELAKO HORNIDURAK,130,9,2,47000,0,47000,7176.79
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22201,TELEFONO BIDEZKO KOMUNIKAZIOAK,130,9,2,1127966,-143131.74,984834.26,506217.49
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22202,POSTA BIDEZKO KOMUNIKAZIOAK,130,9,2,1753200,0,1753200,1019141.29
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22206,MEZULARITZA BIDEZKO KOMUNIKAZIOAK,130,9,2,85000,0,85000,31880.64
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22301,GARRAIOAK,130,9,2,7000,0,7000,9395.55
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22401,ERAIKINEN ETA LOKALEN ASEGURUAK,130,9,2,182000,0,182000,136094.71
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22408,ERANTZUKIZUN ZIBILEKO ASEGURUAK,130,9,2,365050,0,365050,357088.63
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22601,KANONAK,130,9,2,2000,0,2000,241.3
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22699,BESTELAKO GASTUAK,130,9,2,0,0,0,0
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22701,"GARBIKETA, DESINFEKZIO ETA ZABOR-BILKETA",130,9,2,11577000,0,11577000,11167992.24
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22702,SEGURTASUNA,130,9,2,1300000,0,1300000,1033377.45
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22707,AZTERLAN ETA LAN TEKNIKOAK,130,9,2,23000,0,23000,39818.35
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,22712,ZERBITZU INFORMATIKOAK,130,9,2,0,0,0,5904.8
